"Groupe";"Adresse";"Surface (m2)";"PDL (Electricité)"
"Centre d'accueil";"28/30 RUE CHAMPLOUIS 91100 CORBEIL-ESSONNES";"852";"22294934847614"
"Espace Carnot";"75 AVENUE CARNOT 91100 CORBEIL-ESSONNES";"832";"22296671441959"
"Hôtel de Ville";"2 PLACE GALIGNANI 91100 CORBEIL-ESSONNES";"3560";"30002221351188"
"Mairie de quartier Moulin Galant";"29 GRANDE RUE 91100 CORBEIL-ESSONNES";"41";"22201447169998"
"NCA";"28 AVENUE DE CHANTEMERLE 91100 CORBEIL-ESSONNES";"6402";"50040765096839"
"Police Municipale";"39 BD GEORGES MICHEL 91100 CORBEIL-ESSONNES";"495";"22201012995398"
"Service jeunesse (ancienne CAF)";"15 RUE FERAY 91100 CORBEIL-ESSONNES";"325";"22299421099450"
"ABC d'ici et d'ailleurs";"2 PLACE VAILLANT COUTURIER 91100 CORBEIL-ESSONNES";"55";""
"Actives";"4 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"120";""
"Association originaire Portugal (AOP)";"98 BD DE FONTAINEBLEAU 91100 CORBEIL-ESSONNES";"636";"22231982604572"
"Association Paceb";"107 BD JOHN KENNEDY 91100 CORBEIL-ESSONNES";"";"22266425419409"
"Baragouinage";"12 RUE LEOPOLD VENDRIES 91100 CORBEIL-ESSONNES";"38,59";"22221707640732"
"Casa de Espana";"2 PLACE VAILLANT COUTURIER 91100 CORBEIL-ESSONNES";"84";""
"Cercle des naturalistes";"1-3 RUE BERNARDIN DE ST PIERRE 91100 CORBEIL-ESSONNES";"130";""
"Comité d'entente des anciens combattants";"MAISON DE L'ARQUEBUSE 91100 CORBEIL-ESSONNES";"150";"22211722112527"
"Corbeil Project";"2 PLACE VAILLANT COUTURIER 91100 CORBEIL-ESSONNES";"";""
"Croix Rouge";"100 BD DE FONTAINEBLEAU 91100 CORBEIL-ESSONNES";"";"22232416757920"
"Culture et loisirs pour tous";"3 RUE ABELARD 91100 CORBEIL-ESSONNES";"163";"22258465940980"
"Entraide et solidarité";"15 AVENUE STRATHKELVIN 91100 CORBEIL-ESSONNES";"43";""
"Espoir Jeunesse";"47 RUE DU 14 JUILLET 91100 CORBEIL-ESSONNES";"28,6";""
"foyer personnes agées";"6 RUE LÉOPOLD VENDRIES 91100 CORBEIL-ESSONNES";"";"22221562922974"
"Foyer senior";"37 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"";"22284659911121"
"Génération 91";"32 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"664";"30002220716008"
"Groupement des donneurs de sang";"15 RUE NOTRE DAME 91100 CORBEIL-ESSONNES";"386,37";"22296816179055"
"Maison des associations Tarterêts";"15 AVENUE STRATHKELVIN 91100 CORBEIL-ESSONNES";"855";"50082923245379"
"MDA des Tarterêts";"9 AVENUE STRATHKELVIN 91100 CORBEIL-ESSONNES";"0";"50082923245379"
"Pavillon - vie associative";"38 RUE CHAMPLOUIS 91100 CORBEIL-ESSONNES";"";"22207380578511"
"Riverains de Robinson ";"6 RUE FERNAND LAGUIDE 91100 CORBEIL-ESSONNES";"72";""
"Robinson fait son panier";"6 RUE FERNAND LAGUIDE 91100 CORBEIL-ESSONNES";"72";""
"Sagacite";"72 BLD HENRI DUNANT 91100 CORBEIL-ESSONNES";"52";""
"Secours Catholique";"15 RUE NOTRE DAME 91100 CORBEIL-ESSONNES";"90,63";"22296816179055"
"Union Départementale C.F.D.T de l'Essonne";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"20,09";""
"Union locale des syndicats C.F.T.C";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"20";""
"Union locale des syndicats C.G.T";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"56,3";""
"Union locale des syndicats F.O";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"19,15";""
"Voisins Moulin-Galant";"2 RUE RAYMOND BRUNOT 91100 CORBEIL-ESSONNES";"70";"22238350187704"
"Accueil périscolaire Les Mozards";"4 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"120";"22291172184804"
"Centre de loisirs + cantine Henri Wallon";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"1669";"30002220795513"
"Centre de loisirs + cantine Théodore Steeg";"20 RUE PAUL BERT 91100 CORBEIL-ESSONNES";"950";"30002220784058"
"Centre de loisirs élémentaire Petit Louis";"66 RUE SAINT SPIRE 91100 CORBEIL-ESSONNES";"1000";"22212445701593"
"Centre de loisirs l’Indienne";"24 AVENUE CHANTEMERLE 91100 CORBEIL-ESSONNES";"2672";"30002220614415"
"Centre de loisirs La source les petits loups";"78 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"208";"50005464128433"
"Centre de loisirs Villededon";"RUE DU PORT AU SABLONVILLEDEDON 91100 CORBEIL-ESSONNES";"962";"30002220528679"
"Cathédrale saint Spire";"CLOÎTRE SAINT SPIRE 91100 CORBEIL-ESSONNES";"1268";""
"Cimetière de Corbeil (Tarterêts)";"RUE LAFAYETTE 91100 CORBEIL-ESSONNES";"227";"22288133111064"
"Cimetière d'Essonnes";"100 BD DE FONTAINEBLEAU 91100 CORBEIL-ESSONNES";"585";"22232127322356"
"Église saint Etienne";"12 PLACE LÉON CASSÉ 91100 CORBEIL-ESSONNES";"920";""
"Presbytère d'Essonnes";"7 RUE PAUL DOUMER 91100 CORBEIL-ESSONNES";"534";"22203039005558"
"ancienne Galerie d'art (en vente)";"36 RUE SAINT SPIRE 91100 CORBEIL-ESSONNES";"44";"22256584609567"
"Commanderie saint Jean";"24 RUE WIDMER 91100 CORBEIL-ESSONNES";"470";"30002220283541"
"Conservatoire";"1 PLACE D'ESSONNES 91100 CORBEIL-ESSONNES";"1320";"30002220293779"
"Médiathèque Chantemerle";"84 RUE FÉRAY 91100 CORBEIL-ESSONNES";"4350";"30002220283653"
"Médiathèque de Montconseil";"78 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"326";"50005464128433"
"Médiathèque des Tarterêts";"21 LÉON BLUM 91100 CORBEIL-ESSONNES";"410";"50031982578015"
"Médiathèque Papeterie au fil de l’eau";"RUE ALPHONSE BÉRANGER 91100 CORBEIL-ESSONNES";"764";"50078978526327"
"MJC";"45 ALLÉES ARISTIDE BRIAND 91100 CORBEIL-ESSONNES";"1998";"30002220539910"
"Halle du marché Comte Haymon";"2 PLACE DU COMTE HAYMON 91100 CORBEIL-ESSONNES";"1513";"22267872563907"
"Halle du marché des Tarterêts";"AVENUE LÉON BLUM 91100 CORBEIL-ESSONNES";"770";"22231548397426"
"Halle du marché d'Essonnes";"PLACE D'ESSONNES 91100 CORBEIL-ESSONNES";"686";""
"Espace ville Centre-Ville + Ludothèque";"2 BOULEVARD GEORGES MICHEL 91100 CORBEIL-ESSONNES";"383";"22201447148757"
"Espace ville Ermitage";"95 RUE GEORGES LE DÛ 91100 CORBEIL-ESSONNES";"185";"22263820455683"
"Espace ville La Nacelle";"4 RUE DE LA NACELLE 91100 CORBEIL-ESSONNES";"580";"30002220658502"
"Espace ville Montconseil La Peniche";"80 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"1258";"30002221052718"
"Espace ville Moulin Galant";"GRANDE RUE 91100 CORBEIL-ESSONNES";"147";"22201447169998"
"Espace ville Rive Droite + City stade";"45 RUE DU 14 JUILLET 91100 CORBEIL-ESSONNES";"802";"22217655490837"
"Espace ville Tarterêts";"2 AVENUE PAUL MAINTENANT 91100 CORBEIL-ESSONNES";"951";"30002220275228"
"Logement Cantine Théodore Steeg";"20 RUE PAUL BERT 91100 CORBEIL-ESSONNES";"";"22239073776770"
"Logement cimetière des tarterêts ";"RUE LAFAYETTE 91100 CORBEIL-ESSONNES";"";"22288277828858"
"Logement Génération 91";"32 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"";""
"Logement Jean Macé";"3 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"";""
"Logement MDQ Tarterêts";"2/4 AVENUE PAUL MAINTENANT 91100 CORBEIL-ESSONNES";"66";"30002220275228"
"Logement médiathèque au fil de l’eau";"RUE ALPHONSE BÉRANGER 91100 CORBEIL-ESSONNES";"";""
"Logement Pablo Picasso";"RUE HENRY MATISSE 91100 CORBEIL-ESSONNES";"";""
"Logement Robinson";"12 RUE FERNAND LAGUIDE 91100 CORBEIL-ESSONNES";"";""
"Logement Tremplin foot";"23 RUE LÉON BLUM 91100 CORBEIL-ESSONNES";"66";"30002220273538"
"Logements du cimetière de l’Ermitage";"81-84 BD DE FONTAINEBLEAU 91100 CORBEIL-ESSONNES";"";""
"Logements Galignani";"12 BD CRÉTÉ 91100 CORBEIL-ESSONNES";"";""
"Logements Henri Wallon 1";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"";"22255716299137"
"Logements Henri Wallon 2";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"";"22223444254305"
"Logements Henri Wallon 3";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"";"22223299536525"
"Logements Henri Wallon 4";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"";"22223154818780"
"Logements Henri Wallon 5";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"";"22223010100972"
"Logements Henri Wallon 6";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"";"22256584605963"
"Logements Paul Bert";" 19 BD COMBES MARNES 91100 CORBEIL-ESSONNES";"161";"22239652608202, 22224457278965"
"Logements Théodore Steeg (Farida)";"20 RUE PAUL BERT 91100 CORBEIL-ESSONNES";"";"22239363212313"
"Pavillon CTM";"35 RUE DU BAS COUDRAY 91100 CORBEIL-ESSONNES";"";""
"Pavillon Jules Ferry";"12 RUE MARCHAND 91100 CORBEIL-ESSONNES";"";"22222865383173"
"Pavillon l’Indienne";"22 AVENUE DE CHANTEMERLE 91100 CORBEIL-ESSONNES";"";""
"Pavillon Léon Cassé";"21 PLACE LÉON CASSÉ 91100 CORBEIL-ESSONNES";"166";"22225615021354"
"Crèche familiale Chanteprince";"24 AVENUE DE CHANTEMERLE 91100 CORBEIL-ESSONNES";"654";"30002220614415"
"Crèche le petit poucet";"24 RUE WIDMER 91100 CORBEIL-ESSONNES";"849";"30002221111785"
"Crèche les Galopins";"14 RUE LA BRUYÈRE 91100 CORBEIL-ESSONNES";"1213";"50055681321114"
"Multi accueil Tom Pouce";"7 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"394";"22218957951809"
"Multiaccueil Les Koalas";"1 RUE LÉON BUA 91100 CORBEIL-ESSONNES";"358";"22239073718295"
"École élémentaire 4 vents";"5 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"1485";"30002220273099"
"École élémentaire Galignani";"7 BOULEVARD CRÊTÉ 91100 CORBEIL-ESSONNES";"1473";"22296671461203"
"École élémentaire Jacques Bourgoin";"8 QUAI JACQUES BOURGOIN 91100 CORBEIL-ESSONNES";"3263";"50000830786230, 22216353082197"
"École élémentaire Jacques Prévert";"7 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"2074";"30002220273099"
"École élémentaire Jean Macé + centre de loisirs";"38 RUE CHARLES ROBIN 91100 CORBEIL-ESSONNES";"2042";"50002894348840"
"École élémentaire Joliot Curie";"95 RUE GEORGES LE DÛ 91100 CORBEIL-ESSONNES";"2772";"30002220470630"
"École élémentaire Jules Ferry";"14 RUE MARCHAND 91100 CORBEIL-ESSONNES";"3100";"30002220795513"
"École élémentaire Pablo Picasso";"5 RUE PABLO PICASSO 91100 CORBEIL-ESSONNES";"1280";"50084804575650"
"École élémentaire Paul Bert";"19 BD COMBES MARNES 91100 CORBEIL-ESSONNES";"2158";"22224457278965"
"École élémentaire Paul Eluard + réfectoire";"78 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"1600";"50005464128433"
"École élémentaire Pressoir Prompt";"103 BOULEVARD JOHN KENNEDY 91100 CORBEIL-ESSONNES";"1880";"30002220768622"
"École mater Montagne des Glaises + centre de loisirs";"6 RUE HENRI MATISSE 91100 CORBEIL-ESSONNES";"1022";"50084804575650"
"École maternelle Arthur Rimbaud";"3 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"700";"30002220273099"
"École maternelle Charles Baudelaire";"9 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"913";"30002220273099"
"École maternelle Henri Wallon";"19 RUE MARCHAND 91100 CORBEIL-ESSONNES";"880";"30002220795513"
"École maternelle Jean Macé";"51 RUE EMILE ZOLA 91100 CORBEIL-ESSONNES";"2200";"22290159160222"
"École maternelle Joliot Curie";"97 RUE GEORGES LE DÛ 91100 CORBEIL-ESSONNES";"675";"30002220470630"
"École maternelle La Source";"76 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"926";"50005464128433"
"École maternelle Léon Cassé + refectoire (rue P. Doumer)";"21 PLACE LÉON CASSÉ 91100 CORBEIL-ESSONNES";"1712";"30002220286244, 22226772763750, 22225615021354"
"École maternelle Louis Pasteur";"6 RUE DU BAS COUDRAY 91100 CORBEIL-ESSONNES";"";"50037481903041"
"École maternelle Pauline Kergomard";"101 BD JOHN KENNEDY 91100 CORBEIL-ESSONNES";"792";"30002220768622"
"Groupe Scolaire André Malraux";"PARVIS ANDRÉ MALRAUX 91100 CORBEIL-ESSONNES";"3819";"50068987385674"
"Groupe scolaire La Nacelle";"11 RUE BERNARDIN DE ST PIERRE 91100 CORBEIL-ESSONNES";"2780";"30002220790356"
"Groupe scolaire Paradis";"RUE DE L'ENFER 91100 CORBEIL-ESSONNES";"2950";"50069863563922"
"Groupe scolaire Paul Langevin";"RUE ROLAND DE LA POYPE 91100 CORBEIL-ESSONNES";"4919";"50044428311290"
"Groupe scolaire Théodore Steeg";"20 RUE PAUL BERT 91100 CORBEIL-ESSONNES";"2990";"30002220784058"
"GS Germaine Tillion – Geneviève de Gaulle Anthonioz";"RUE JEAN BOUVET 91100 CORBEIL-ESSONNES";"3166";"50065811278950"
"Antenne CMS";"8 PLACE DES VICTOIRES 91100 CORBEIL-ESSONNES";"";"22287698892153"
"CDPS";"1 RUE PIERRE SEMARD 91100 CORBEIL-ESSONNES";"477";"30002220741422"
"Centre de santé";"18 RUE DU GÉNÉRAL LECLERC 91100 CORBEIL-ESSONNES";"1985";"30002220741422"
"CMPP + MIVE";"16 ALLÉES ARISTIDE BRIAND 91100 CORBEIL-ESSONNES";"560";"30002220525203"
"Maison Charlotte Ansart";"9 ALLÉES ARISTIDE BRIAND 91100 CORBEIL-ESSONNES";"925";"22201591801059"
"Pole Social (CCAS+Mission handicap+Mission Famille)";"2 RUE DE LA TRIPERIE 91100 CORBEIL-ESSONNES";"544";"22246020226247"
"ASCE  Foot– ASCE Cyclisme";"15 RUE REMOIVILLE  91100 CORBEIL-ESSONNES";"300";"22213748161778"
"ASCE Aviron + tank à ramer";"71 QUAI MAURICE RIQUIEZ 91100 CORBEIL-ESSONNES";"1016";"22284804601669, 22285094037279"
"ASCE billard";"111 RUE FÉRAY 91100 CORBEIL-ESSONNES";"970";"22227206917140, 22227496352737"
"ASCE boules Lyonnaises (stade Roger)";"15 RUE REMOIVILLE 91100 CORBEIL-ESSONNES";"236";"50064254653377"
"ASCE Canoé-Kayak";"94 RUE D'ANGOULÊME 91100 CORBEIL-ESSONNES";"270";""
"ASCE pétanque";"1 PLACE JEAN MOULIN 91100 CORBEIL-ESSONNES";"";""
"ASCE Union d'associations";"15 RUE REMOIVILLE (STADE ROGER) 91100 CORBEIL-ESSONNES";"";""
"ASCE voile ESPAR";"110 QUAI JACQUES BOURGOIN 91100 CORBEIL-ESSONNES";"112";"22269175074413"
"City stade de Jean Macé";"3 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"";""
"City stade de l'Arquebuse";"3/5 RUE DE L'ARQUEBUSE 91100 CORBEIL-ESSONNES";"";""
"City stade de l'Ermitage";"RUE HENRI BERREAU 91100 CORBEIL-ESSONNES";"";""
"City stade de Montconseil";"RUE RENÉE PIERRE 91100 CORBEIL-ESSONNES";"";""
"City stade du marché des Tarterêts";"PLACE NICOLAS TARTERÊTS 91100 CORBEIL-ESSONNES";"";""
"City stade du Paradis";"RUE DE L'ENFER 91100 CORBEIL-ESSONNES";"";""
"City stade parc Léopold Senghor";"14 AVENUE LÉON BLUM 91100 CORBEIL-ESSONNES";"";""
"City stade Pressoir-Prompt";"RUE LOUIS BAUDOIN 91100 CORBEIL-ESSONNES";"";""
"City stade Théodore Steeg";"RUE DES MARAIS 91100 CORBEIL-ESSONNES";"";""
"Complexe sportif La Nacelle Canoé-Kayak";"RUE D'ANGOULÊME 91100 CORBEIL-ESSONNES";"280";"22236179420788"
"Gymnase de La Nacelle";"1 RUE DE LA NACELLE 91100 CORBEIL-ESSONNES";"1700";"30002220658502"
"Gymnase des Hauts Tarterêts";"9 AV DU GÉNÉRAL DE GAULLE 91100 CORBEIL-ESSONNES";"1450";"30002220766932"
"Gymnase Jean Macé";"3 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"980";"22290303878076"
"Gymnase Louise Michel";"17 CHEMINS DES MOZARDS 91100 CORBEIL-ESSONNES";"1200";"22235455831701"
"Gymnase Maurice Broguet";"2/4 AVENUE PAUL MAINTENANT 91100 CORBEIL-ESSONNES";"1716";"30002220275228"
"Gymnase Montconseil";"76 BD HENRI DUNANT 91100 CORBEIL-ESSONNES";"1200";"50000688586100"
"Local bouliste stade Mercier";"RUE DU BAS-COUDRAY 91100 CORBEIL-ESSONNES";"";""
"Motonautisme";"88 CHEMIN DES BAS-VIGNONS 91100 CORBEIL-ESSONNES";"20";"22265557063401"
"Stade de Robinson";"12 RUE FERNAND LAGUIDE 91100 CORBEIL-ESSONNES";"962";"30002220763353, 30002220301124"
"Stade Louis Mercier (Leo Lagrange)";"1 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"807";"30002220712516"
"Templin foot + Club House";"AVENUE LÉON BLUM 91100 CORBEIL-ESSONNES";"270";"30002220273538"
"Tennis couvert + Club House (stade Roger)";"17 RUE DU BAS COUDRAY 91100 CORBEIL-ESSONNES";"100";"22254269083395"
"Terrain de boules de l'Ermitage";"93 RUE GEORGES LE DÛ 91100 CORBEIL-ESSONNES";"";""
"Vestiaires Stade Roger";"15 RUE REMOIVILLE 91100 CORBEIL-ESSONNES";"";""
"Centre Technique Municipal";"35 RUE DU BAS COUDRAY 91100 CORBEIL-ESSONNES";"4820";"30002220586930, 50038060726232"
"Imprimerie Municipale";"4 RUE PAUL DOUMER 91100 CORBEIL-ESSONNES";"386";"22226483328160"
"Service Logistique";"37 QUAI DE L'APPORT PARIS 91100 CORBEIL-ESSONNES";"609";"30002220895853"